RAS_id_alicia	RAS_id	Month	Mooring	Location
7_2017_F4_4	07_2017_F4_4	Jun	F4	WSC
8_2016_F4_1	08_2016_F4_1	Aug	F4	WSC
8_2016_F4_2	08_2016_F4_2	Aug	F4	WSC
9_2016_F4_1	09_2016_F4_1	Sep	F4	WSC
9_2016_F4_2	09_2016_F4_2	Sep	F4	WSC
10_2016_F4	10_2016_F4	Oct	F4	WSC
11_2016_F4	11_2016_F4	Nov	F4	WSC
12_2016_F4	12_2016_F4	Dec	F4	WSC
1_2017_F4	01_2017_F4	Jan	F4	WSC
2_2017_F4_1	02_2017_F4_1	Feb	F4	WSC
2_2017_F4_2	02_2017_F4_2	Feb	F4	WSC
3_2017_F4_2	03_2017_F4_2	Mar	F4	WSC
3_2017_F4_3	03_2017_F4_3	Mar	F4	WSC
3_2017_F4_4	03_2017_F4_4	Mar	F4	WSC
4_2017_F4_1	04_2017_F4_1	Apr	F4	WSC
4_2017_F4_2	04_2017_F4_2	Apr	F4	WSC
5_2017_F4_1	05_2017_F4_1	May	F4	WSC
5_2017_F4_2	05_2017_F4_2	May	F4	WSC
6_2017_F4_1	06_2017_F4_1	Jun	F4	WSC
6_2017_F4_2	06_2017_F4_2	Jun	F4	WSC
7_2017_F4_1	07_2017_F4_1	Jul	F4	WSC
7_2017_F4_2	07_2017_F4_2	Jul	F4	WSC
7_2017_F4_3	07_2017_F4_3	Jul	F4	WSC
8_2017_F4_1	08_2017_F4_1	Aug	F4	WSC
8_2017_F4_2	08_2017_F4_2	Aug	F4	WSC
9_2017_F4_1	09_2017_F4_1	Sep	F4	WSC
9_2017_F4_2	09_2017_F4_2	Sep	F4	WSC
10_2017_F4	10_2017_F4	Oct	F4	WSC
11_2017_F4	11_2017_F4	Nov	F4	WSC
12_2017_F4	12_2017_F4	Dec	F4	WSC
1_2018_F4	01_2018_F4	Jan	F4	WSC
2_2018_F4_1	02_2018_F4_1	Feb	F4	WSC
2_2018_F4_2	02_2018_F4_2	Feb	F4	WSC
3_2018_F4_1	03_2018_F4_1	Mar	F4	WSC
