ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
mic_asv1	0.086858871	0.091884747	0.117355904	0.147276477	0.097962343	0.052491387	0.054157412	0.037717553	0.035464804	0.025978124	0.025220138	0.032542583	0.033618754	0.033788209	0.031618801	0.060122947	0.078130108	0.07372345	0.074279495	0.106004207	0.123084685	0.114291943	0.072849586	0.072571861	0.042905773	0.06545832	0.029153549	0.053642705	0.041598903	0.029922646	0.028	0.034235896	0.021798232	0.023471481	0.028223827	0.021718619	0.029407805	0.031659038	0.023262702	0.071417023	0.09024657	0.140716365	0.145417713	0.12973467	0.066814263	0.049224165	0.092762256	0.066478157	0.065094742	0.073352626	0.097780153	0.051574618	0.046837894	0.052978271	0.034682398	0.030075693	0.027319694	0.02217208	0.01773406	0.013993283	0.015978939	0.018542935	0.019837127	0.054097256	0.047029703	0.08404531	0.071847513	0.131509064	0.050340392	0.051224123	0.057088182	0.249323576	0.032821067	0.077826124	0.085620549	0.053299231	0.05027257	0.047160209	0.024501325	0.052229218	0.06421304	0.049624656	0.045881203	0.033452651	0.038754592	0.043156989	0.045178539	0.054401497	0.036828366	0.039921259	0.086134264	0.073527402	0.145586325	0.085403395	0.101608385	0.079978015	0.08247876
mic_asv2	0.007316527	0.004750419	0.004671392	0.011236807	0.008665035	0.008820339	0.01697177	0.006730108	0.008206731	0.008624316	0.010472542	0.013441809	0.014934201	0.016531266	0.014966915	0.040292347	0.074624342	0.041595144	0.033220245	0.015260187	0.009322936	0.015914358	0.00211304	0.011921331	0.01285618	0.013893325	0.00666769	0.012746522	0.017184285	0.010769373	0.014288372	0.01337916	0.007004825	0.012659007	0.009729332	0.011951356	0.013779937	0.016192118	0.021337434	0.049106117	0.054362155	0.01528386	0.016285513	0.013889262	0.015695539	0.086555716	0.00311067	0.006169401	0.006251142	0.013437781	0.044881525	0.020813202	0.017956962	0.02121575	0.017021587	0.014467214	0.017999587	0.010796158	0.013891092	0.008182739	0.013072015	0.014552417	0.017524535	0.047436962	0.057767909	0.050096753	0.054533186	0.029089871	0.04748077	0.035927446	0.015443496	0.02640622	0.008572091	0.018352074	0.012417201	0.034808667	0.043842881	0.028681306	0.03289731	0.057910097	0.046415223	0.042749596	0.035663301	0.034129593	0.029262505	0.038586099	0.024273458	0.04030023	0.056431861	0.069938232	0.052396536	0.0532768	0.015592797	0.026059384	0.011697344	0.010019534	0.01308694
mic_asv3	0.041080805	0.027141219	0.025678011	0.035985078	0.046746242	0.018454128	0.039191803	0.02734016	0.013677886	0.015103071	0.01377966	0.0125598	0.013193446	0.018832192	0.015157923	0.051249038	0.061807442	0.060307801	0.036566585	0.029952941	0.038399526	0.028593065	0.015208142	0.031316188	0.02203176	0.042382625	0.015255062	0.011568712	0.022513961	0.015424522	0.014716279	0.011115768	0.008302922	0.011284366	0.012954912	0.014816886	0.017206564	0.017773287	0.009569378	0.021902468	0.014006232	0.003831047	0.016206071	0.021631406	0.01813212	0.054783435	0.034397012	0.028804821	0.028367757	0.051285638	0.036714769	0.033152457	0.027684411	0.012599907	0.018957519	0.018444858	0.013721843	0.017345931	0.009836586	0.008955701	0.010201656	0.013444329	0.019790144	0.021845763	0.03698311	0.03393724	0.042257498	0.023803013	0.031121524	0.031752094	0.037548487	0.01810647	0.03170129	0.004374982	0.017251189	0.00778055	0.018433061	0.004991498	0.003215853	0.01803381	0.010856668	0.01240081	0.005851501	0.004446392	0.003974097	0.025816304	0.015996012	0.011624773	0.003678805	0.002852106	0.004628541	0.008057208	0.006160004	0.004886135	0.002371415	0.001136389	0.005224431
mic_asv4	0.004821691	0.003101047	0.006963156	0.008901492	0.022832076	0.048854791	0.034866017	0.025248761	0.02632993	0.021750105	0.0215366	0.026587262	0.026635571	0.023664136	0.027041408	0.042387751	0.04285827	0.032680846	0.037550803	0.016523673	0.004913735	0.027262088	0.003162374	0.013857791	0.009832213	0.025582881	0.038675164	0.032311256	0.034897619	0.020681829	0.025432558	0.019934613	0.0193245	0.024128026	0.018792511	0.015201286	0.018785261	0.016180229	0.009842789	0.022064142	0.008448679	0.001024301	0.004200471	0.003987562	0.002807634	0.007459273	0.000756394	0.000985391	0.004264912	0.022128188	0.02660253	0.045293491	0.032534434	0.033204605	0.025769807	0.024419717	0.025294482	0.018583807	0.0250498	0.02222933	0.022195002	0.024455073	0.027270829	0.027095642	0.046083285	0.042469644	0.04123624	0.012718842	0.033898258	0.057788164	0.009516421	0.003961504	0.002548459	0.015371945	0.014518574	0.027735847	0.026664865	0.019319962	0.03121116	0.022044382	0.031835845	0.043841895	0.039224402	0.029868264	0.025717267	0.025590834	0.020074316	0.038881459	0.016640293	0.012435838	0.052821421	0.043267941	0.018218373	0.008455439	0.008631706	0.006484102	0.012530875
mic_asv5	0.054183361	0.043420302	0.051788015	0.068618828	0.066132281	0.032458211	0.009699434	0.006708398	0.002833276	0.002944889	0.001962761	0.001891026	0.001875176	0.001504451	0.002387612	0.01026243	0.016503027	0.019331501	0.020541204	0.048716086	0.05231812	0.097780939	0.152900759	0.129213313	0.241986487	0.059358033	0.046507461	0.013086778	0.006720878	0.003520311	0.002418605	0.001978372	0.002106346	0.002256873	0.001753033	0.001555074	0.00161541	0.001307733	0.003850535	0.012125492	0.015534184	0.010420447	0.020476053	0.025144045	0.030117129	0.011681503	0.082163287	0.24691887	0.104307561	0.050699866	0.075189738	0.033648009	0.02016733	0.004436243	0.00494941	0.003843378	0.002417855	0.001002836	0.001163467	0.001226078	0.00137119	0.001904087	0.001707037	0.002899187	0.007207338	0.007163145	0.010320826	0.015100967	0.012424849	0.012519582	0.049113007	0.015366525	0.005289984	0.042012206	0.066861853	0.057688948	0.031421161	0.008782355	0.003476598	0.00796608	0.004775748	0.002816419	0.002342692	0.002517837	0.002487384	0.005175559	0.003836626	0.006371759	0.009705998	0.007409721	0.025945145	0.094162764	0.068085946	0.029409217	0.014265353	0.112220266	0.041032472
mic_asv6	0.002196202	0.001090168	0.000161082	0.00024263	5.83E-05	3.19E-05	2.69E-05	0.000535514	0.000732744	6.31E-05	0.000107549	0.000155233	7.39E-05	0.000389387	0.000150078	0.048535111	0.017427377	0.011227595	0.020738048	0.091493032	0.041097693	0.025059091	0.000603726	0.000574887	0.00184894	0.000143724	0.000307149	0.000562731	0.002410111	0.001366437	0.001413953	0.001207142	0.002032869	0.001661879	0.001279714	0.001572547	0.000795467	0.001224514	0.018853953	0.101556318	0.105660914	0.035406938	0.074158665	0.123757807	0.039418189	0.010133352	0.000973857	0.000871142	4.87E-05	0	0.000926421	4.96E-05	6.39E-05	0.000439958	5.48E-05	0.000318883	6.20E-05	0.000156693	0.00144552	0	0.000127978	8.77E-05	1.57E-05	0.007992352	0.040987187	0.017483507	0.013301064	0.027041973	0.033798793	0.007567421	0.00840962	0.006701449	0.000965326	0.000780737	0.000544031	0.001428898	0.001969454	0.000883721	0.0004085	0.000825976	0.001097532	0.000353391	0.000622278	0.001436677	0.000814833	0.001516798	0.000634403	0.001078063	0.036455446	0.026618282	0.012213202	0.015261359	0.008725907	0.003471119	0.0006205	0.001284937	0.000711247
mic_asv7	0.00684369	0.001525105	0.000541823	0.001425452	0.000158151	9.57E-05	0.000358243	0.000578934	0.000683894	0.000483803	0.00056463	0.000289299	0.000262121	0.000389387	0.000334266	0.022986329	0.028564665	0.017445501	0.063163623	0.003170064	0.005846029	0.002340684	0.002084292	0.000408472	0.006289852	6.39E-05	0.000102383	0.000327169	0.000450671	0.000370559	0.000372093	0.000469444	0.000342894	0.000164136	0.000298016	0.000594073	0.000354901	0.000380432	0.005149237	0.042928498	0.088943316	0.09834902	0.00625602	0.005528822	0.031650814	0.03444636	0.002136813	0.032118018	0.000926095	0.000262286	0.001717442	0.000260165	0.00036535	0	0.000456588	0.000419583	0.00049597	3.13E-05	0.001322122	0.001012847	0.000895844	0.000277022	9.92E-05	0.013304916	0.025371287	0.000633706	0.027076284	0.013405526	0.033306994	0.002660573	0.008782002	0.010309043	0.005830566	0.001413895	0.001262485	0.001137743	0.002587322	0.001846671	0.001790448	0.004689708	0.005739796	0.002811064	0.003639539	0.00215258	0.003287922	0.001393814	0.001404749	0.001693372	0.061405807	0.02421824	0.014116147	0.005227186	0.00330033	0.002096533	0.000743371	0.007018873	0.004784751
mic_asv8	0.002905458	0.002423222	0.001420455	0.001789397	0.003196324	0.005359194	0.028426596	0.016796324	0.016022666	0.018426588	0.026026753	0.01467662	0.017871305	0.010938247	0.013889078	0.003218843	0.001183619	0.001502906	0.000926323	0.00043125	6.58E-05	0.000734332	0.000833717	0.001240545	0.00089855	0.004615139	0.004645627	0.01486658	0.023611247	0.018921673	0.025655814	0.020404057	0.012123736	0.018814116	0.014252156	0.015847777	0.018393646	0.013612316	0.001424015	0.00028931	0.000247169	3.23E-05	7.94E-05	8.96E-06	0	7.04E-05	6.62E-05	5.71E-05	0.001352586	0.003776917	0.00404062	0.009873882	0.017673815	0.010375675	0.02719436	0.040749878	0.02589378	0.032169103	0.028311034	0.028759529	0.02283489	0.021418352	0.019701399	0.00783564	0.001201223	0.0019577	0.001032436	0.001324753	0.006103289	0.056286332	0.007613137	0.001895129	0.000424743	0.006498205	0.003845595	0.006835417	0.01488032	0.018168078	0.01790448	0.03197445	0.04247004	0.041218235	0.047664368	0.038610076	0.038911841	0.032026974	0.027536101	0.009926315	0.001269944	9.45E-05	0.000226003	8.61E-05	0.000440656	1.16E-05	0.004761261	0.001024978	0.001629402
mic_asv9	0.000715477	0.000948954	0.000527179	0.000879534	0.004111938	0.011755136	0.018342051	0.007591273	0.006643545	0.007362221	0.009571822	0.009624476	0.006828599	0.008000142	0.007374309	0.002802287	0.002231967	0.00419193	0.002767389	0.000385855	8.77E-05	0.000458958	0.000172493	0.001391831	0.001330546	0.00506228	0.016176508	0.031526049	0.02188694	0.017925796	0.020632558	0.016229357	0.011095055	0.013725892	0.012691957	0.012527956	0.012788663	0.012887119	0.005149237	0.001574187	0.00214213	0.000371007	0.000327696	0.000116491	3.71E-05	0.000316667	5.67E-05	1.43E-05	0.000974837	0.00149503	0.006983788	0.016006343	0.018103102	0.039339574	0.016692844	0.011798667	0.02300062	0.009244896	0.009008056	0.00495762	0.00734958	0.007942464	0.003022552	0.005077494	0.002948457	0.002421664	0.002853758	0.002102589	0.006694554	0.022870571	0.001034394	0.000205496	0.000115839	0.007350351	0.005868062	0.023825415	0.065699961	0.041668952	0.037086611	0.045070759	0.070590591	0.026868421	0.044709857	0.015676821	0.026703644	0.022444504	0.019590961	0.014604702	0.006435389	0.002823338	0.00375165	0.000607518	0.001000656	0.000196369	0.00384587	0.002109376	0.013681801
mic_asv10	0	0	0	0	0	1.59E-05	1.79E-05	0	0	0	0	2.82E-05	6.72E-06	0	0	1.26E-05	0	0	0	1.51E-05	2.19E-05	0	0	0	0	0	0	0	0	0	0	0	0.000195939	2.05E-05	0.000455789	0.000227146	0.000783229	0.001509838	0.000922761	0.000204219	0.000149799	0.000112915	0.000198604	0.001335161	0.001682107	0.003166673	2.84E-05	0.000114248	2.44E-05	0.000454629	0.000577231	0.000396442	0.002621388	0.000989905	0.002319465	0.002349663	0.007418888	0.006440088	0.012762882	0.018231249	0.051703018	0.005975257	0.007872207	0.00355738	0.000764415	0.000339486	0.002200764	0.000680607	0.000182353	0.000647341	5.17E-05	0.00015983	0.000656421	0.000209466	4.57E-05	0.000134379	5.15E-05	0.000664314	0.000269436	0.000743378	0.000823149	0.000840642	0.001641976	0.002605498	0.002001344	0.006036444	0.001012023	0.001108574	0.000418275	0.000595901	0.001817064	0.00487027	0.000656394	0.003165014	0.100232227	0.000259958	0.000103454
