sample_name;contig;full_ID;2016-09-01;2016-12-01;2017-03-08;2017-07-08;2016-09-12;2016-12-02;2017-03-23;2016-07-10;2016-08-11;2016-10-30;2016-11-15;2017-02-03;2017-05-26;2016-10-01;2016-11-01;2017-05-01;2017-06-01;2017-07-01;2017-07-15;2017-07-22;2019-05-20;2019-07-11;2018-01-27;2018-02-26;2019-03-01;2019-04-18;2019-05-04;2019-10-01;2019-07-03;2019-07-19;2019-07-27;2019-09-15;2020-06-29;2020-07-15;2020-07-31;2017-10-29;2019-12-04;2020-01-05;2020-02-06;2020-04-10;2020-04-26;2019-10-17;2020-05-12;2018-06-29;2018-07-08;2018-07-17;2018-08-05;2018-09-06;2017-08-16;2018-04-30;2018-05-12;2018-05-24;2018-06-17;2019-08-12;2017-08-30;2017-09-14
4752_BW;run525_CCS_trimmed_deduplicated_s1006_ctg001007l;full;7.2998;0;0;0;0;0;0;0.198893;0;0;0;0;0;0;0.593382;0;0;0;0;0;0;0;0;0;0;0;0;0.415607;0;0;0;0;0;0;0;0;0;0;0;0;0;0.936127;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4752_BW;run525_CCS_trimmed_deduplicated_s1015_ctg001016l;full;9.46392;0;0;0;0;0;0;0;0;0;0.194715;0;0;0.412246;0;0;0;0;0;0;0;0;0;0;0;0;0;3.74722;0;0;0;0.759002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4752_BW;run525_CCS_trimmed_deduplicated_s1052_ctg001053l;full;8.56832;0.822976;0;0;0;0.396592;0.241773;0.203775;0;1.29188;1.1703;0.488602;0;3.18996;0.482173;0;0;0.536824;0.26892;0.186154;0;0;0;0;0;0;0;1.30501;0;0;0;3.57344;1.31664;2.95804;4.87;0;0.475471;1.36081;0;0.932736;0.476455;1.62885;0.811818;0;0;0;1.51009;1.58354;0.517908;0;0;0;0;0;2.02375;0
4752_BW;run525_CCS_trimmed_deduplicated_s1071_ctg001072l;full;1.76899;0;0;0;0;0;0;0;0;0;0;0;0;0.207489;0;0;0;0;0;0.520625;0;0;0;0;0;0;0;2.38741;0;0;0.2644;0.431511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.577341;0.59127;2.88375;0;0;0;0;0.868132;4.19997;1.49685
4752_BW;run525_CCS_trimmed_deduplicated_s1088_ctg001089l;full;1.72377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.24954;0;0;0;0;0.324647;0;0.279524;0;0;0.690681;0;0;0;0;0;0;0;0;0;0;0;0;0;0.480577
4752_BW;run525_CCS_trimmed_deduplicated_s109_ctg000110l;full;4.73559;0;0;0;0;0;0;0;0;0.390361;0.690371;0;0;0.640174;0.565572;0;0;0;0;1.30421;0;0;0;0;0;0;0;0.739219;0;0;0;1.01575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02511;8.98719;0;0;0;0;0;0.369164;2.1463
4752_BW;run525_CCS_trimmed_deduplicated_s1103_ctg001104l;full;2.03675;0;0;0;0;0;0;0;0;0.148219;0;0;0;1.15253;0;0;0;0;0;0.527878;0;0;0;0;0;0;0;0.411055;0;0;0.258535;0;0;0.646395;0;0;0;0;0;0;0;0;0;0;0;0;0;0.369639;0;0;0;0;0;0;0.497699;0.571812
4752_BW;run525_CCS_trimmed_deduplicated_s1107_ctg001108l;full;3.30287;0;0;0;0;0;0;0;0;0.136928;0.200722;0;0;0.426738;0;0;0;0;0.327942;0.152535;0;0;0;0;0;0;0;0.291401;0;0;0;0.384204;0;0;0;0;0;0;0;0;0;0.4823;0;0;0;0;0;0.369692;0;0;0;0;0;0;0.927342;0.80291
4752_BW;run525_CCS_trimmed_deduplicated_s1128_ctg001129l;full;1.37306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.49585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.431641;0.766405;1.32824;0;0;0;0;1.4094;0.326623;0.771769
4752_BW;run525_CCS_trimmed_deduplicated_s1134_ctg001135l;full_1;1.73571;0;0.0925361;0;0;0;0;0;0;0.2107;0;0;0;0.52902;0;0;0;0;0.376416;0.470281;0;0;0;0;0;0;0;1.3473;0;0;0;1.53427;0.284691;0.664905;0;0;0;0;0;0;0;1.51942;0;0.552861;0;0;5.33008;0.560325;2.88241;0;0;0;0;0;1.5477;1.95742
