tara_header_pacbio_sample_ID	fastq	short	date	RAS_id_GOVID	location
4752_BW	4752_BW_run525_CCS_trimmed_deduplicated.fastq.gz	4752_BW_run525_CCS_trimmed_deduplicated	2016-09-01	09_2016_F4_1	WSC
5068_G	5068_G_run562_hifi_trimmed_deduplicated.fastq.gz	5068_G_run562_hifi_trimmed_deduplicated	2016-10-01	10_2016_F4	WSC
5068_H	5068_H_run562_hifi_trimmed_deduplicated.fastq.gz	5068_H_run562_hifi_trimmed_deduplicated	2016-11-01	11_2016_F4	WSC
4752_CA	4752_CA_run525_CCS_trimmed_deduplicated.fastq.gz	4752_CA_run525_CCS_trimmed_deduplicated	2016-12-01	12_2016_F4	WSC
4752_CF	4752_CF_run525_CCS_trimmed_deduplicated.fastq.gz	4752_CF_run525_CCS_trimmed_deduplicated	2017-03-08	03_2017_F4_2	WSC
5068_J	5068_J_run562_hifi_trimmed_deduplicated.fastq.gz	5068_J_run562_hifi_trimmed_deduplicated	2017-05-01	05_2017_F4_1	WSC
5068_K	5068_K_run562_hifi_trimmed_deduplicated.fastq.gz	5068_K_run562_hifi_trimmed_deduplicated	2017-06-01	06_2017_F4_1	WSC
5068_L	5068_L_run562_hifi_trimmed_deduplicated.fastq.gz	5068_L_run562_hifi_trimmed_deduplicated	2017-07-01	07_2017_F4_1	WSC
4752_CP	4752_CP_run525_CCS_trimmed_deduplicated.fastq	4752_CP_run525_CCS_trimmed_deduplicated	2017-07-08	07_2017_F4_2	WSC
5068_M	5068_M_run562_hifi_trimmed_deduplicated.fastq.gz	5068_M_run562_hifi_trimmed_deduplicated	2017-07-15	07_2017_F4_3	WSC
5068_N	5068_N_run562_hifi_trimmed_deduplicated.fastq.gz	5068_N_run562_hifi_trimmed_deduplicated	2017-07-22	07_2017_F4_4	WSC
5516_N	5516.N.hifi_reads.fastq.gz	5516.N.hifi_reads	2017-08-16	08_2017_F4_1	WSC
5516_T	5516_T_hifi_reads.fastq.gz	5516_T_hifi_reads	2017-08-30	08_2017_F4_2	WSC
5516_U	5516_U_hifi_reads.fastq.gz	5516_U_hifi_reads	2017-09-14	09_2017_F4_1	WSC
5516_AJ	5516_AJ_hifi_reads.fastq.gz	5516_AJ_hifi_reads	2017-10-29	10_2017_F4	WSC
5514_V	5514_V_hifi_reads.fastq.gz	5514_V_hifi_reads	2018-01-27	01_2018_F4	WSC
5514_W	5514_W_hifi_reads.fastq.gz	5514_W_hifi_reads	2018-02-26	02_2018_F4_2	WSC
5516_O	5516_O_hifi_reads.fastq.gz	5516_O_hifi_reads	2018-04-30	04_2018_F4_4	WSC
5516_P	5516_P_hifi_reads.fastq.gz	5516_P_hifi_reads	2018-05-12	05_2018_F4_1	WSC
5516_Q	5516.Q.hifi_reads.fastq.gz	5516.Q.hifi_reads	2018-05-24	05_2018_F4_2	WSC
5516_R	5516_R_hifi_reads.fastq.gz	5516_R_hifi_reads	2018-06-17	06_2018_F4_2	WSC
5516_I	5516.I.hifi_reads.fastq.gz	5516.I.hifi_reads	2018-06-29	06_2018_F4_3	WSC
5516_J	5516.J.hifi_reads.fastq.gz	5516.J.hifi_reads	2018-07-08	07_2018_F4_1	WSC
5516_K	5516.K.hifi_reads.fastq.gz	5516.K.hifi_reads	2018-07-17	07_2018_F4_2	WSC
5516_L	5516.L.hifi_reads.fastq.gz	5516.L.hifi_reads	2018-08-05	08_2018_F4_1	WSC
5516_M	5516_M_hifi_reads.fastq.gz	5516_M_hifi_reads	2018-09-06	09_2018_F4_1	WSC
5514_X	5514_X_hifi_reads.fastq.gz	5514_X_hifi_reads	2019-03-01	03_2019_F4_1	WSC
5514_Y	5514_Y_hifi_reads.fastq.gz	5514_Y_hifi_reads	2019-04-18	04_2019_F4_2	WSC
5514_Z	5514_Z_hifi_reads.fastq.gz	5514_Z_hifi_reads	2019-05-04	05_2019_F4_1	WSC
5514_AA	5514_AA_hifi_reads.fastq.gz	5514_AA_hifi_reads	2019-05-20	05_2019_F4_2	WSC
5516_AB	5516_AB_hifi_reads.fastq.gz	5516_AB_hifi_reads	2019-07-03	07_2019_F4_1	WSC
5514_AC	5514_AC_hifi_reads.fastq.gz	5514_AC_hifi_reads	2019-07-11	07_2019_F4_2	WSC
5516_AD	5516.AD.hifi_reads.fastq.gz	5516.AD.hifi_reads	2019-07-19	07_2019_F4_3	WSC
5516_AE	5516.AE.hifi_reads.fastq.gz	5516.AE.hifi_reads	2019-07-27	07_2019_F4_4	WSC
5516_S	5516.S.hifi_reads.fastq.gz	5516.S.hifi_reads	2019-08-12	08_2019_F4_2	WSC
5516_AF	5516.AF.hifi_reads.fastq.gz	5516.AF.hifi_reads	2019-09-15	09_2019_F4_1	WSC
5516_A	5516.A.hifi_reads.fastq.gz	5516.A.hifi_reads	2019-10-01	10_2019_F4_1	WSC
5516_G	5516.G.hifi_reads.fastq.gz	5516.G.hifi_reads	2019-10-17	10_2019_F4_2	WSC
5516_B	5516.B.hifi_reads.fastq.gz	5516.B.hifi_reads	2019-12-04	12_2019_F4_1	WSC
5516_C	5516.C.hifi_reads.fastq.gz	5516.C.hifi_reads	2020-01-05	01_2020_F4_1	WSC
5516_D	5516.D.hifi_reads.fastq.gz	5516.D.hifi_reads	2020-02-06	02_2020_F4_1	WSC
5516_E	5516.E.hifi_reads.fastq.gz	5516.E.hifi_reads	2020-04-10	04_2020_F4_1	WSC
5516_F	5516.F.hifi_reads.fastq.gz	5516.F.hifi_reads	2020-04-26	04_2020_F4_2	WSC
5516_H	5516.H.hifi_reads.fastq.gz	5516.H.hifi_reads	2020-05-12	05_2020_F4_1	WSC
5516_AG	5516.AG.hifi_reads.fastq.gz	5516.AG.hifi_reads	2020-06-29	06_2020_F4_2	WSC
5516_AH	5516.AH.hifi_reads.fastq.gz	5516.AH.hifi_reads	2020-07-15	07_2020_F4_1	WSC
5516_AI	5516.AI.hifi_reads.fastq.gz	5516.AI.hifi_reads	2020-07-31	07_2020_F4_2	WSC
5068_A	5068_A_run562_hifi_trimmed_deduplicated.fastq.gz	5068_A_run562_hifi_trimmed_deduplicated	2016-07-10	07_2016_EGC_1	EGC
5068_B	5068_B_run562_hifi_trimmed_deduplicated.fastq.gz	5068_B_run562_hifi_trimmed_deduplicated	2016-08-11	08_2016_EGC_1	EGC
4752_E	4752_E_run525_CCS_trimmed_deduplicated.fastq.	4752_E_run525_CCS_trimmed_deduplicated	2016-09-12	09_2016_EGC_1	EGC
5068_C	5068_C_run562_hifi_trimmed_deduplicated.fastq.gz	5068_C_run562_hifi_trimmed_deduplicated	2016-10-30	10_2016_EGC_2	EGC
5068_D	5068_D_run562_hifi_trimmed_deduplicated.fastq.gz	5068_D_run562_hifi_trimmed_deduplicated	2016-11-15	11_2016_EGC	EGC
4752_J	4752_J_run525_CCS_trimmed_deduplicated.fastq.gz	4752_J_run525_CCS_trimmed_deduplicated	2016-12-01	12_2016_EGC_1	EGC
5068_E	5068_E_run562_hifi_trimmed_deduplicated.fastq.gz	5068_E_run562_hifi_trimmed_deduplicated	2017-02-03	02_2017_EGC_1	EGC
4752_Q	4752_Q_run525_CCS_trimmed_deduplicated.fastq.	4752_Q_run525_CCS_trimmed_deduplicated	2017-03-23	03_2017_EGC_2	EGC
5068_F	5068_F_run562_hifi_trimmed_deduplicated.fastq.gz	5068_F_run562_hifi_trimmed_deduplicated	2017-05-26	05_2017_EGC_2	EGC
