Library_name	RAS_id	Read_name	Length	Breadth_coverage	Mean_depth_coverage	CVPG	CV_per_genome	seq_name	taxonomy
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.6496553821204135	11.148016757889046	10.2319	0.0351451	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.0088165479823669	0.0088165479823669	0.00809199	2.77949e-05	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.9973045822102424	10.375685472627568	9.52299	0.0327102	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.0890132437977989	0.0890132437977989	0.081698	0.000280622	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.334639100471527	5.693725063474791	5.2258	0.01795	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	29963	0.1789874178153055	0.1789874178153055	0.175776	0.000544531	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.7499831069666869	13.906108520846002	13.6566	0.0423064	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.7784559737764214	1.6436456802682642	1.61415	0.00500044	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.2541128357654057	0.2541128357654057	0.249553	0.000773084	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.8713299757507927	3.711173288565566	3.64458	0.0112905	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5516_AB_hifi_reads_s100.ctg000101l||full	47011	0.0923400906170896	0.0923400906170896	0.0906832	0.000280925	5516_AB_hifi_reads_s100.ctg000101l||full	Other
4752_CA_run525_CCS_trimmed_deduplicated	12_2016_F4	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.079651795429815	0.2893725063474791	0.28418	0.000880354	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	29963	1.0	3.0096452291159097	1.03601	0.00381886	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.7465031421041962	14.948391783228596	5.1457	0.0189676	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.7771372593346144	5.099506424023209	1.75541	0.00647063	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.7414288379033762	7.943033016228315	2.73424	0.0100787	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5516.H.hifi_reads_s1930.ctg002193l||full	20784	0.0376250962278675	0.0376250962278675	0.0129517	4.77415e-05	5516.H.hifi_reads_s1930.ctg002193l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5516_AB_hifi_reads_s100.ctg000101l||full	47011	0.1003594903320499	0.1102295207504626	0.0379444	0.000139867	5516_AB_hifi_reads_s100.ctg000101l||full	Other
4752_CF_run525_CCS_trimmed_deduplicated	3_2017_F4_2	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.0826985854189336	1.867392092854552	0.642814	0.00236949	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_CP_run525_CCS_trimmed_deduplicated	7_2017_F4_2	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.75	14.422849516859248	20.6961	0.0652028	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_CP_run525_CCS_trimmed_deduplicated	7_2017_F4_2	5068_L_run562_hifi_trimmed_deduplicated_s3860.ctg004019l||full_1	25131	0.2651705065457005	0.3917870359317178	0.562197	0.00177119	5068_L_run562_hifi_trimmed_deduplicated_s3860.ctg004019l||full_1	Maveriviricetes
4752_CP_run525_CCS_trimmed_deduplicated	7_2017_F4_2	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.6406729249930291	1.45487498838182	2.08768	0.00657719	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_CP_run525_CCS_trimmed_deduplicated	7_2017_F4_2	5516.K.hifi_reads_s557.ctg000566l||full	15539	0.5031211789690456	0.9001866271960872	1.29173	0.00406956	5516.K.hifi_reads_s557.ctg000566l||full	Arfiviricetes
4752_CP_run525_CCS_trimmed_deduplicated	7_2017_F4_2	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.1659775117881755	0.5481320275661952	0.786545	0.00247799	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_E_run525_CCS_trimmed_deduplicated	RAS_EGC_09_1617_1	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.75	49.605023988107305	38.4511	0.0699954	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_E_run525_CCS_trimmed_deduplicated	RAS_EGC_09_1617_1	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.7338457480878641	1.4126445876191551	1.095	0.00199332	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_E_run525_CCS_trimmed_deduplicated	RAS_EGC_09_1617_1	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.117761873780091	0.225113858165257	0.174496	0.000317648	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_E_run525_CCS_trimmed_deduplicated	RAS_EGC_09_1617_1	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.1985450475657526	0.6148852825965305	0.476625	0.000867636	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_E_run525_CCS_trimmed_deduplicated	RAS_EGC_09_1617_1	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.1923830250272034	0.4948132027566195	0.383552	0.000698208	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_J_run525_CCS_trimmed_deduplicated	RAS_EGC_12_1617_1	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.5520812217041692	2.987651192648152	3.19816	0.00788298	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_J_run525_CCS_trimmed_deduplicated	RAS_EGC_12_1617_1	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.4640744508496289	1.6126747296635395	1.7263	0.00425508	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_J_run525_CCS_trimmed_deduplicated	RAS_EGC_12_1617_1	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.1180407101031694	0.4607305511664653	0.493193	0.00121565	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_J_run525_CCS_trimmed_deduplicated	RAS_EGC_12_1617_1	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.5149412423055401	1.5723559037493005	1.68314	0.0041487	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_J_run525_CCS_trimmed_deduplicated	RAS_EGC_12_1617_1	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.1426913311570547	0.5891186071817193	0.630628	0.0015544	5516_AB_hifi_reads_s463.ctg000464l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	29963	0.6956246036778694	1.0998564896705938	0.811229	0.00213747	4752_CF_run525_CCS_trimmed_deduplicated_s103.ctg000104l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.6770558821541997	4.483259003986756	3.30675	0.0087128	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.6262763271918917	1.2016502769300328	0.88631	0.0023353	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.0566037735849056	0.0566037735849056	0.0417496	0.000110004	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5516.D.hifi_reads_s160.ctg000161l||full	26805	0.3571721693713859	1.8699869427345643	1.37926	0.00363415	5516.D.hifi_reads_s160.ctg000161l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5516.H.hifi_reads_s1930.ctg002193l||full	20784	0.3704291762894534	0.3704291762894534	0.27322	0.000719895	5516.H.hifi_reads_s1930.ctg002193l||full	Other
4752_Q_run525_CCS_trimmed_deduplicated	RAS_EGC_03_1617_2	5516_AB_hifi_reads_s463.ctg000464l||full	13785	0.130866884294523	0.9759883931809938	0.719867	0.00189674	5516_AB_hifi_reads_s463.ctg000464l||full	Other
5068_A_run562_hifi_trimmed_deduplicated	RAS_EGC_07_1617_1	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	59196	0.7499831069666869	18.727751875126696	11.7656	0.0242195	5068_L_run562_hifi_trimmed_deduplicated_s301.ctg000314l||full	Other
5068_A_run562_hifi_trimmed_deduplicated	RAS_EGC_07_1617_1	5516.AD.hifi_reads_s2295.ctg002301l||full	26541	0.3201461889152632	0.3788101427979353	0.237986	0.000489893	5516.AD.hifi_reads_s2295.ctg002301l||full	Other
5068_A_run562_hifi_trimmed_deduplicated	RAS_EGC_07_1617_1	5516.AF.hifi_reads_s4994.ctg005025l||full	10759	0.4611023329305697	0.7771168324193698	0.48822	0.001005	5516.AF.hifi_reads_s4994.ctg005025l||full	Other
