Library_name	RAS_id	Read_name	Length	Breadth_coverage	Mean_depth_coverage	CVPG	CV_per_genome
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1006.ctg001007l||full	23147	1.0	7.953428090033266	7.2998	0.0250739
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1015.ctg001016l||full	51198	1.0	10.31132075471698	9.46392	0.0325073
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1052.ctg001053l||full	10470	1.0	9.335530085959885	8.56832	0.0294311
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1071.ctg001072l||full	13290	0.999849510910459	1.9273890142964636	1.76899	0.00607626
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1088.ctg001089l||full	23087	1.0	1.8781132238922338	1.72377	0.00592091
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s109.ctg000110l||full	60070	0.9916430830697519	5.159613783918761	4.73559	0.0162661
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1103.ctg001104l||full	29422	0.9997620827951873	2.21912174563252	2.03675	0.00699597
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1107.ctg001108l||full	28568	1.0	3.5986068328199385	3.30287	0.0113449
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1128.ctg001129l||full	69421	0.8773425908586739	1.496002650494807	1.37306	0.00471628
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1134.ctg001135l||full_1	19288	0.9980817088345085	1.8911240149315636	1.73571	0.00596193
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1187.ctg001188l||full	21043	0.8070617307418144	0.8070617307418144	0.740736	0.00254433
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1201.ctg001202c||full	27469	1.0	10.364083148276238	9.51234	0.0326737
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1202.ctg001203l||full	29856	0.986367899249732	1.683648177920686	1.54528	0.00530784
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1206.ctg001207l||full	28877	1.0	1.8899123870208123	1.7346	0.00595811
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1228.ctg001229l||full	16084	1.0	2.8155309624471525	2.58415	0.0088762
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1278.ctg001279l||full	31539	0.999936586448524	2.648498684168807	2.43084	0.00834962
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1321.ctg001322l||full	24163	0.9998758432313868	1.882009684227952	1.72734	0.0059332
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1330.ctg001331l||full	19861	1.0	1.2440461205377373	1.14181	0.00392196
4752_BW_run525_CCS_trimmed_deduplicated	9_2016_F4_1	4752_BW_run525_CCS_trimmed_deduplicated_s1335.ctg001336l||full	16694	1.0	3.6616149514795735	3.3607	0.0115436
