seq_name	taxonomy
4752_E_run525_CCS_trimmed_deduplicated_s1377.ctg001404l||full_1	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s317.ctg000323l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s382.ctg000388l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s515.ctg000523l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s647.ctg000659c||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s671.ctg000684l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s730.ctg000745l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s731.ctg000746l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s781.ctg000796l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s963.ctg000982l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1177.ctg001201l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1229.ctg001254l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1351.ctg001377l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1718.ctg001753l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1784.ctg001820l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1798.ctg001834l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1853.ctg001891l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s1885.ctg001924l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2022.ctg002062l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2227.ctg002272l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2330.ctg002377l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2337.ctg002384l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2422.ctg002469l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2578.ctg002627l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s2862.ctg002917l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s3166.ctg003232l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s3216.ctg003284l||full	Caudoviricetes
4752_E_run525_CCS_trimmed_deduplicated_s3426.ctg003505l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s648.ctg000653l||full	Caudoviricetes
